,id,loan_amnt,term,int_rate,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,fico_range_low
845072,136367570,28000.0, 60 months,11.55,B,B4,Area Manager,4 years,MORTGAGE,120000.0,Jul-18,Current,credit_card,CA,700.0
396654,38508256,9000.0, 36 months,19.24,E,E2,,,OWN,20500.08,Jan-15,Charged Off,debt_consolidation,TX,685.0
918486,109936577,40000.0, 36 months,5.32,A,A1,Director of Security,3 years,MORTGAGE,190000.0,Jun-17,Current,home_improvement,NV,720.0
321545,44856798,35000.0, 60 months,15.61,D,D1,Director of Quality Control,10+ years,MORTGAGE,125000.0,Apr-15,Current,debt_consolidation,CA,730.0
863073,136585143,17400.0, 60 months,17.97,D,D1,Commercial Driver,< 1 year,RENT,54000.0,Jul-18,Current,credit_card,WA,670.0
28733,66402844,35000.0, 60 months,9.76,B,B3,"Manager, Change Control",4 years,RENT,78000.0,Dec-15,Fully Paid,debt_consolidation,KS,715.0
451672,129156334,10000.0, 36 months,7.34,A,A4,Lead Processor ,7 years,OWN,70000.0,Mar-18,Current,debt_consolidation,IL,715.0
2768,67466729,11425.0, 60 months,17.97,D,D4,Driver/Service Tech,2 years,RENT,38500.0,Dec-15,Charged Off,debt_consolidation,PA,680.0
246745,51998418,19950.0, 36 months,7.89,A,A5,Attorney ,3 years,MORTGAGE,125000.0,Jun-15,Fully Paid,debt_consolidation,MD,725.0
800458,138124223,16000.0, 60 months,22.35,D,D5,Parishable Manager & District Trainer,10+ years,MORTGAGE,50000.0,Aug-18,Current,credit_card,VA,705.0
720,68426254,15000.0, 36 months,12.88,C,C2,Associate Professor,10+ years,MORTGAGE,118000.0,Dec-15,Fully Paid,credit_card,MD,705.0
346707,42296284,15825.0, 60 months,17.57,D,D4,Nanny,< 1 year,OWN,36000.0,Mar-15,Charged Off,debt_consolidation,KY,700.0
782489,139426347,8000.0, 36 months,7.21,A,A3,Assistant Manager,6 years,MORTGAGE,85000.0,Sep-18,Current,credit_card,WV,755.0
881326,111908240,8000.0, 36 months,10.42,B,B3,,,OWN,48000.0,Jun-17,Current,debt_consolidation,NY,675.0
549395,117995869,5000.0, 36 months,11.99,B,B5,Electrician ,< 1 year,RENT,60000.0,Sep-17,Charged Off,major_purchase,FL,670.0
1001206,75060799,26400.0, 60 months,18.99,D,D4,Supervisor,5 years,RENT,125000.0,Mar-16,Current,debt_consolidation,NJ,675.0
145498,60225305,15000.0, 36 months,5.32,A,A1,Sr. Brand Manager,4 years,RENT,145000.0,Sep-15,Fully Paid,debt_consolidation,CA,810.0
835166,137649559,25600.0, 60 months,16.14,C,C4,Dental hygienist/clinical manager,7 years,MORTGAGE,65000.0,Jul-18,Current,debt_consolidation,MI,695.0
685223,77577716,25000.0, 60 months,7.89,A,A5,HR Analyst,2 years,OWN,130000.0,Jun-16,Current,debt_consolidation,IL,700.0
71069,63476306,35000.0, 36 months,16.55,D,D2,Supervisor ,10+ years,MORTGAGE,80000.0,Nov-15,Fully Paid,debt_consolidation,GA,660.0
305607,46803967,9000.0, 36 months,17.86,D,D5,Owner,4 years,RENT,75000.0,Apr-15,Fully Paid,small_business,MO,680.0
903397,110670471,8000.0, 36 months,25.82,E,E4,Clerk,10+ years,RENT,59000.0,Jun-17,Current,debt_consolidation,NY,670.0
962747,102396743,9700.0, 36 months,5.32,A,A1,,,MORTGAGE,60000.0,Apr-17,Current,medical,AZ,715.0
210558,55534859,15000.0, 36 months,13.33,C,C3,Investigator,10+ years,RENT,103000.0,Jul-15,Fully Paid,debt_consolidation,VA,665.0
743496,76292172,35000.0, 36 months,9.75,B,B3,Firefighter,7 years,OWN,150000.0,Apr-16,Fully Paid,debt_consolidation,NV,705.0
792270,139263178,28000.0, 60 months,12.73,B,B5,Receptionists ,10+ years,MORTGAGE,90000.0,Aug-18,Current,other,CA,690.0
276581,50083205,7000.0, 36 months,10.99,B,B4,Branch Manager,8 years,RENT,29000.0,May-15,Fully Paid,debt_consolidation,CA,685.0
959491,105740553,30000.0, 36 months,16.99,D,D1,Manager,10+ years,OWN,65000.0,Apr-17,Current,debt_consolidation,IL,705.0
547430,118135578,30800.0, 36 months,16.02,C,C5,Teacher,10+ years,MORTGAGE,70000.0,Sep-17,Current,debt_consolidation,NY,670.0
1030879,73924721,22000.0, 36 months,11.99,C,C1,Network Technician,4 years,MORTGAGE,98000.0,Mar-16,Fully Paid,debt_consolidation,CO,700.0
206314,56127393,10000.0, 60 months,14.65,C,C5,Project Manager,10+ years,MORTGAGE,114000.0,Jul-15,Charged Off,debt_consolidation,GA,660.0
76732,64027651,9000.0, 36 months,10.99,B,B4,SUPERVISOR,10+ years,RENT,80000.0,Nov-15,Fully Paid,debt_consolidation,NY,665.0
803095,138941392,2500.0, 36 months,13.56,C,C1,Builder,10+ years,RENT,48000.0,Aug-18,Current,credit_card,ID,670.0
123802,61438207,16000.0, 36 months,6.89,A,A3,Controller,10+ years,MORTGAGE,110000.0,Oct-15,Fully Paid,debt_consolidation,NY,715.0
583961,116887943,6000.0, 36 months,11.99,B,B5,Customer Service Representative,< 1 year,OWN,32000.0,Aug-17,Fully Paid,debt_consolidation,IL,660.0
332512,44078508,35000.0, 60 months,17.57,D,D4,Truck driver ,7 years,MORTGAGE,103500.0,Apr-15,Charged Off,debt_consolidation,CA,755.0
602470,115088401,12000.0, 60 months,14.08,C,C3,Project & Marketing Coordinator,1 year,RENT,33000.0,Aug-17,Current,debt_consolidation,VT,720.0
979646,100075467,6000.0, 36 months,5.32,A,A1,Operations Manager,8 years,OWN,51000.0,Apr-17,Current,debt_consolidation,AZ,740.0
140162,60655299,9600.0, 36 months,11.53,B,B5,Account Manager,2 years,MORTGAGE,65000.0,Sep-15,Fully Paid,home_improvement,IL,660.0
685324,80598928,5000.0, 36 months,14.46,C,C4,Shipfitter Supervisor,6 years,MORTGAGE,63000.0,May-16,Charged Off,debt_consolidation,VA,675.0
199198,56070122,16800.0, 60 months,13.99,C,C4,District Administrator,1 year,MORTGAGE,43000.0,Jul-15,Current,credit_card,TX,670.0
687094,79350214,10000.0, 36 months,25.44,F,F2,Maintenance,6 years,OWN,117027.0,May-16,Fully Paid,other,AL,710.0
277095,49643974,20000.0, 36 months,6.89,A,A3,,,MORTGAGE,89000.0,May-15,Fully Paid,debt_consolidation,NV,765.0
585343,116713898,16000.0, 36 months,20.0,D,D4,Readiness NCO,10+ years,MORTGAGE,65000.0,Aug-17,Current,debt_consolidation,KS,670.0
637692,112840082,10000.0, 60 months,19.03,D,D3,MANAGER,10+ years,RENT,59000.0,Jul-17,Fully Paid,debt_consolidation,TX,680.0
38045,65866225,16800.0, 36 months,9.76,B,B3,teacher,10+ years,RENT,90000.0,Dec-15,Fully Paid,credit_card,AL,695.0
748202,75688533,24000.0, 60 months,18.25,D,D3,Master Electrician,10+ years,RENT,60000.0,Apr-16,Current,debt_consolidation,VA,705.0
891167,110906602,3200.0, 36 months,7.07,A,A2,School psychologist,10+ years,MORTGAGE,55000.0,Jun-17,Current,debt_consolidation,LA,795.0
450459,129781191,20000.0, 36 months,13.58,C,C2,Customer Service Assoc,10+ years,RENT,55000.0,Mar-18,Current,other,PA,670.0
53980,65722088,12000.0, 36 months,10.99,B,B4,Bus aide/Transportation Dept,6 years,RENT,30000.0,Nov-15,Fully Paid,credit_card,IL,700.0
592417,116252943,21600.0, 60 months,14.08,C,C3,sales representative,2 years,MORTGAGE,48000.0,Aug-17,Charged Off,home_improvement,MI,705.0
171317,58191341,12000.0, 60 months,8.18,B,B1,Contract Manager,2 years,MORTGAGE,96400.0,Aug-15,Fully Paid,debt_consolidation,TN,715.0
61637,65282168,3600.0, 36 months,15.41,D,D1,CDL,3 years,RENT,43000.0,Nov-15,Fully Paid,debt_consolidation,CA,670.0
299451,44795478,6000.0, 36 months,7.89,A,A5,maintenance supervisor,< 1 year,RENT,50000.0,Apr-15,Fully Paid,debt_consolidation,NV,730.0
1024674,74691550,7500.0, 36 months,15.31,C,C5,,,RENT,65000.0,Mar-16,Current,other,MA,710.0
157583,58111080,25000.0, 60 months,12.29,C,C1,Managing General PArtner,6 years,MORTGAGE,80000.0,Aug-15,Current,debt_consolidation,TX,715.0
748289,76143055,28000.0, 60 months,7.39,A,A4,Operations Manager,10+ years,MORTGAGE,110000.0,Apr-16,Fully Paid,debt_consolidation,NH,720.0
719256,77427188,36000.0, 60 months,12.99,C,C2,,,MORTGAGE,140000.0,May-16,Fully Paid,debt_consolidation,WV,730.0
246238,52008356,24000.0, 60 months,9.17,B,B2,Vice President,4 years,MORTGAGE,215000.0,Jun-15,Current,debt_consolidation,MO,715.0
604372,114247732,15000.0, 60 months,30.75,F,F5,Road Operator,10+ years,MORTGAGE,43000.0,Aug-17,Charged Off,debt_consolidation,VA,680.0
476105,128661769,40000.0, 36 months,6.08,A,A2,Band Director,10+ years,MORTGAGE,94000.0,Feb-18,Current,debt_consolidation,NY,785.0
1037976,70962350,15000.0, 36 months,11.99,C,C1,Financial Analyst,10+ years,MORTGAGE,100000.0,Mar-16,In Grace Period,debt_consolidation,WI,660.0
1042784,72215474,8000.0, 36 months,10.75,B,B4,lab assistant,10+ years,OWN,55000.0,Feb-16,Fully Paid,major_purchase,PA,715.0
496822,127599162,7500.0, 36 months,6.72,A,A3,,,RENT,52500.0,Jan-18,Current,credit_card,MN,680.0
707177,76449494,20150.0, 60 months,23.99,E,E4,Registered Nurse,10+ years,MORTGAGE,48000.0,May-16,Fully Paid,debt_consolidation,FL,680.0
454654,129406430,6000.0, 36 months,7.34,A,A4,,,MORTGAGE,30000.0,Mar-18,Current,credit_card,FL,715.0
895282,111411247,7500.0, 36 months,11.99,B,B5,Finance Specialist,8 years,RENT,42000.0,Jun-17,Current,debt_consolidation,CT,685.0
896607,110478903,19350.0, 36 months,20.0,D,D4,Supervisor,10+ years,MORTGAGE,47500.0,Jun-17,Fully Paid,home_improvement,TX,665.0
738946,76292192,16000.0, 36 months,7.89,A,A5,stage technician,6 years,RENT,70000.0,Apr-16,Fully Paid,debt_consolidation,CA,680.0
322316,45494955,7000.0, 36 months,6.68,A,A3,Teacher,10+ years,MORTGAGE,62000.0,Apr-15,Fully Paid,debt_consolidation,NC,800.0
836326,137730226,8000.0, 36 months,8.46,A,A5,,< 1 year,MORTGAGE,110000.0,Jul-18,Current,debt_consolidation,CA,710.0
116282,61461842,11675.0, 60 months,6.0,D,D2,Massage Therapist,3 years,RENT,40000.0,Oct-15,Fully Paid,debt_consolidation,FL,685.0
990114,75810827,10000.0, 36 months,11.47,B,B5,Deputy Clerk,< 1 year,RENT,48000.0,Mar-16,Fully Paid,debt_consolidation,WI,700.0
797991,139073822,7500.0, 36 months,7.84,A,A4,Operations Manager,2 years,RENT,74000.0,Aug-18,Current,debt_consolidation,OR,750.0
83156,63488423,8000.0, 36 months,12.29,C,C1,IT Manager,2 years,RENT,75000.0,Oct-15,Fully Paid,credit_card,RI,665.0
361968,41329267,6400.0, 36 months,9.99,B,B3,Line Cook,2 years,RENT,39200.0,Mar-15,Fully Paid,debt_consolidation,CT,680.0
768844,140327714,23000.0, 60 months,7.84,A,A4,Operations Specialist,10+ years,MORTGAGE,120000.0,Sep-18,Current,debt_consolidation,LA,715.0
22297,66575761,12500.0, 36 months,5.32,A,A1,,,OWN,40000.0,Dec-15,Fully Paid,debt_consolidation,RI,790.0
644029,111797967,15000.0, 36 months,5.32,A,A1,District Manager,3 years,MORTGAGE,95000.0,Jul-17,Current,credit_card,IN,730.0
665056,82486230,3850.0, 36 months,22.39,E,E1,,,OWN,76000.0,Jun-16,Charged Off,home_improvement,NV,675.0
281559,48896349,26000.0, 36 months,8.18,B,B1,Project engineer,2 years,MORTGAGE,64000.0,May-15,Fully Paid,debt_consolidation,MI,760.0
331445,44439504,12000.0, 60 months,12.29,C,C1,Platform Engineer,3 years,MORTGAGE,150000.0,Apr-15,Current,debt_consolidation,VA,690.0
854475,136968894,30000.0, 36 months,19.92,D,D3,Office manager,1 year,RENT,62000.0,Jul-18,Charged Off,other,IN,680.0
644995,111703497,7000.0, 36 months,26.3,E,E5,Commercial driver,< 1 year,RENT,36000.0,Jul-17,Current,debt_consolidation,NY,710.0
602839,115357999,10000.0, 36 months,9.93,B,B2,Lab tech,10+ years,RENT,60000.0,Aug-17,Fully Paid,debt_consolidation,MN,680.0
341715,43390871,24000.0, 60 months,15.61,D,D1,Assistant Nurse Manager/RN,7 years,MORTGAGE,72000.0,Mar-15,Charged Off,debt_consolidation,OH,675.0
972838,104048897,18600.0, 36 months,17.99,D,D2,Strategic Planning Manager,3 years,RENT,123000.0,Apr-17,Charged Off,home_improvement,NV,775.0
61260,64998584,6500.0, 36 months,11.49,B,B5,Route Sales ,6 years,MORTGAGE,50000.0,Nov-15,Fully Paid,debt_consolidation,GA,700.0
533596,120034777,7000.0, 36 months,9.44,B,B1,Deputy Country Mnager,4 years,MORTGAGE,100000.0,Sep-17,Current,other,OH,680.0
327410,44514863,22050.0, 60 months,18.25,E,E1,Teacher,10+ years,OWN,60000.0,Apr-15,Fully Paid,debt_consolidation,FL,720.0
474995,128834145,30000.0, 60 months,23.88,E,E2,Deputy group leader ,10+ years,MORTGAGE,126100.0,Feb-18,In Grace Period,debt_consolidation,NM,700.0
174689,57014125,12000.0, 36 months,9.17,B,B2,Bartender ,5 years,RENT,90000.0,Aug-15,Fully Paid,debt_consolidation,NJ,695.0
127324,60954658,15000.0, 60 months,13.33,C,C3,MEDICAL TECHNOLOGIST,8 years,RENT,57408.0,Oct-15,Current,debt_consolidation,NJ,665.0
460665,129315390,7000.0, 36 months,7.34,A,A4,Field Manager,10+ years,MORTGAGE,70500.0,Feb-18,Current,car,MD,715.0
414853,37620893,10000.0, 36 months,13.66,C,C3,Agent,7 years,RENT,80000.0,Jan-15,Fully Paid,debt_consolidation,UT,685.0
546291,119299820,11900.0, 36 months,25.82,E,E4,Field Technician ,3 years,RENT,35000.0,Sep-17,Charged Off,debt_consolidation,IN,675.0
470985,128699577,5000.0, 36 months,11.99,B,B5,CNA,10+ years,MORTGAGE,45000.0,Feb-18,Current,debt_consolidation,PA,705.0
662185,81356754,5000.0, 36 months,9.75,B,B3,asst mgr,2 years,MORTGAGE,40000.0,Jun-16,Current,other,GA,665.0
176999,55807662,6400.0, 36 months,12.29,C,C1,Associate ,9 years,MORTGAGE,80000.0,Aug-15,Fully Paid,debt_consolidation,IN,665.0
452944,129600535,21000.0, 36 months,6.71,A,A3,Help Desk Analyst,< 1 year,RENT,28000.0,Mar-18,Current,debt_consolidation,TX,770.0
496302,127330807,20000.0, 60 months,14.08,C,C3,segurity guard,8 years,RENT,80000.0,Jan-18,Current,debt_consolidation,CA,690.0
79928,63360442,18000.0, 36 months,7.89,A,A5,Owner/Operations Manager,1 year,MORTGAGE,65000.0,Nov-15,Fully Paid,debt_consolidation,FL,725.0
808272,138490624,15000.0, 36 months,18.94,D,D2,Meat Cutter,10+ years,MORTGAGE,65000.0,Aug-18,Current,debt_consolidation,TX,665.0
571506,115092314,4800.0, 36 months,10.91,B,B4,phlebotomist,10+ years,MORTGAGE,45000.0,Aug-17,Fully Paid,medical,CA,735.0
86847,63387540,6000.0, 36 months,9.99,B,B3,health protection,10+ years,MORTGAGE,67000.0,Oct-15,Fully Paid,home_improvement,SC,690.0
125904,60824325,24000.0, 60 months,14.65,C,C5,Brewer,10+ years,RENT,100000.0,Oct-15,Fully Paid,debt_consolidation,NH,660.0
1027869,73746266,12000.0, 36 months,9.16,B,B2,Senior Director Inventory Management ,< 1 year,MORTGAGE,128000.0,Mar-16,Fully Paid,debt_consolidation,CA,715.0
296745,47400143,25000.0, 36 months,5.93,A,A1,Product Manager,2 years,OWN,112000.0,May-15,Fully Paid,credit_card,NC,785.0
618635,113923919,4000.0, 36 months,15.05,C,C4,Sr.accountant,4 years,RENT,96000.0,Jul-17,Current,debt_consolidation,VA,665.0
612572,114207260,30000.0, 60 months,14.08,C,C3,MDS Coordinator,10+ years,RENT,90000.0,Jul-17,Current,debt_consolidation,NJ,740.0
613137,113847447,5000.0, 36 months,21.45,D,D5,CREELER,1 year,RENT,28000.0,Jul-17,Fully Paid,other,GA,685.0
715077,78051800,34050.0, 36 months,23.99,E,E4,Director of Sales Eastern Region,1 year,RENT,125000.0,Apr-16,Charged Off,debt_consolidation,MA,660.0
8760,67979686,25075.0, 60 months,23.99,F,F3,project foreman,10+ years,MORTGAGE,66000.0,Dec-15,Charged Off,debt_consolidation,KS,660.0
651070,111493097,18200.0, 60 months,15.05,C,C4,Internal Coporate Auditor,10+ years,RENT,100800.0,Jul-17,Current,credit_card,NV,685.0
332560,43659740,7525.0, 36 months,10.99,B,B4,Banker,3 years,MORTGAGE,100000.0,Apr-15,Fully Paid,debt_consolidation,NY,665.0
847877,137321861,5000.0, 36 months,8.46,A,A5,VP Of Commercial Sales,8 years,MORTGAGE,220000.0,Jul-18,Current,credit_card,TX,700.0
721474,77260491,35000.0, 36 months,21.18,E,E3,Physician,5 years,MORTGAGE,370000.0,Apr-16,Charged Off,home_improvement,MI,750.0
367848,41143306,18000.0, 36 months,9.17,B,B2,District Operations Trainer,10+ years,RENT,54000.0,Feb-15,Fully Paid,debt_consolidation,IL,675.0
902812,110737135,4200.0, 36 months,5.32,A,A1,Production supervisor,< 1 year,MORTGAGE,72000.0,Jun-17,Current,car,NH,760.0
528116,126411104,18850.0, 60 months,19.03,D,D3,Maintenance Mechanic,10+ years,OWN,71000.0,Jan-18,Current,credit_card,WV,750.0
468420,128947655,2000.0, 36 months,10.91,B,B4,driver,10+ years,OWN,60000.0,Feb-18,Late (31-120 days),home_improvement,IL,685.0
952004,106155219,12000.0, 36 months,12.74,C,C1,Accounting Assistant,8 years,RENT,55000.0,May-17,Charged Off,debt_consolidation,VA,705.0
489813,128111739,5550.0, 36 months,6.72,A,A3,VP Branch Manager,4 years,MORTGAGE,75000.0,Feb-18,Current,debt_consolidation,CA,720.0
808477,138278737,25000.0, 36 months,18.94,D,D2,Installer,1 year,RENT,74000.0,Aug-18,Current,debt_consolidation,NM,660.0
541225,119106862,7800.0, 36 months,9.44,B,B1,GME Program Coordinator,10+ years,MORTGAGE,64992.0,Sep-17,Current,credit_card,NC,665.0
586348,116801755,5500.0, 36 months,11.99,B,B5,Fraud Prevention Specialist,5 years,RENT,43000.0,Aug-17,Current,debt_consolidation,TX,680.0
778905,139636544,12500.0, 36 months,8.46,A,A5,Accounting technician,10+ years,MORTGAGE,60000.0,Sep-18,Current,debt_consolidation,CA,710.0
915226,109957409,10000.0, 60 months,13.59,C,C2,Teacher,10+ years,RENT,61500.0,May-17,Current,other,TX,660.0
334855,44056187,12000.0, 36 months,16.55,D,D2,Branch Managet,5 years,MORTGAGE,70000.0,Mar-15,Fully Paid,debt_consolidation,AZ,675.0
439145,128378176,6200.0, 36 months,7.96,A,A5,Registered Nurse Consultant,2 years,RENT,56578.0,Mar-18,Current,debt_consolidation,FL,680.0
76093,63917940,10000.0, 60 months,13.18,C,C3,City Clerk,10+ years,MORTGAGE,49000.0,Nov-15,Fully Paid,credit_card,MN,675.0
221092,55138212,6000.0, 36 months,12.29,C,C1,,,RENT,70000.0,Jul-15,Charged Off,debt_consolidation,FL,670.0
447767,129853455,10000.0, 36 months,7.96,A,A5,Correction Officer I,6 years,RENT,96000.0,Mar-18,Fully Paid,debt_consolidation,MA,715.0
507248,127020332,16000.0, 36 months,22.91,E,E1,,,MORTGAGE,72000.0,Jan-18,Charged Off,debt_consolidation,TX,675.0
717341,77416735,10000.0, 36 months,10.75,B,B4,Bartender ,4 years,RENT,42000.0,Apr-16,Charged Off,debt_consolidation,NV,695.0
486764,128149068,30000.0, 36 months,6.72,A,A3,Designer,3 years,RENT,152000.0,Feb-18,Current,debt_consolidation,CA,730.0
848116,137303076,10000.0, 36 months,10.08,B,B1,Site Supervisor,10+ years,RENT,53000.0,Jul-18,Current,debt_consolidation,CA,665.0
380418,40401911,14000.0, 36 months,6.99,A,A3,Supervisor - Employment Consultants,10+ years,MORTGAGE,68000.0,Feb-15,Fully Paid,credit_card,NC,705.0
797212,139117364,5000.0, 36 months,13.56,C,C1,Associate Registrar,10+ years,MORTGAGE,50000.0,Aug-18,Current,credit_card,OR,710.0
980099,104180634,7500.0, 36 months,11.39,B,B3,Director of Operations,10+ years,MORTGAGE,160000.0,Apr-17,Current,debt_consolidation,CO,660.0
703672,77584665,8000.0, 36 months,7.39,A,A4,Nursing Assitant ,10+ years,RENT,30000.0,May-16,Fully Paid,credit_card,CA,685.0
102888,62256474,16000.0, 60 months,12.29,C,C1,Registered nurse,2 years,RENT,110000.0,Oct-15,Current,debt_consolidation,NV,670.0
54088,65711597,16000.0, 36 months,12.05,C,C1,Financial Counselor,10+ years,RENT,50868.0,Nov-15,Fully Paid,credit_card,WA,680.0
219721,55269226,26775.0, 60 months,20.99,E,E5,Registered Nurse,10+ years,OWN,93000.0,Jul-15,Current,home_improvement,WA,695.0
456027,128552114,20000.0, 36 months,9.92,B,B2,Registered Nurse,5 years,MORTGAGE,84000.0,Mar-18,Fully Paid,debt_consolidation,NJ,715.0
140629,60695280,10000.0, 36 months,10.99,B,B4,,,RENT,28500.0,Sep-15,Fully Paid,credit_card,IL,665.0
369078,41081338,35000.0, 60 months,9.99,B,B3,Manager,5 years,MORTGAGE,186000.0,Feb-15,Current,debt_consolidation,TX,750.0
264178,50537038,25000.0, 60 months,8.18,B,B1,CSR,< 1 year,OWN,60000.0,Jun-15,Fully Paid,credit_card,PA,730.0
741703,76083881,10000.0, 36 months,5.32,A,A1,Marketing Lead,1 year,RENT,130000.0,Apr-16,Current,credit_card,CA,755.0
142626,60276744,10000.0, 36 months,15.61,D,D1,Residential Assistance,8 years,RENT,34000.0,Sep-15,Charged Off,debt_consolidation,MI,660.0
568564,117879076,8000.0, 36 months,5.32,A,A1,Attorney,9 years,MORTGAGE,67000.0,Aug-17,Current,other,OH,805.0
223570,54909302,4000.0, 36 months,14.65,C,C5,Foreman,< 1 year,OWN,60000.0,Jul-15,Fully Paid,other,VA,695.0
659924,83313268,6000.0, 36 months,10.49,B,B3,Dean,4 years,RENT,133000.0,Jun-16,Fully Paid,credit_card,CA,670.0
476803,128310905,11200.0, 60 months,18.06,D,D2,,,OWN,30255.0,Feb-18,Current,debt_consolidation,WI,660.0
496873,127330412,7000.0, 36 months,9.93,B,B2,Owner ,8 years,RENT,57500.0,Jan-18,Current,car,AL,715.0
130497,60666299,15000.0, 36 months,9.17,B,B2,Area manager,9 years,MORTGAGE,75000.0,Oct-15,Fully Paid,credit_card,MI,660.0
379260,40443255,15500.0, 60 months,13.66,C,C3,FINANIAL TRANACTION ANALYST,10+ years,RENT,61000.0,Feb-15,Fully Paid,debt_consolidation,OR,680.0
194959,55933658,35000.0, 36 months,13.33,C,C3,Senior Coding Specialist,10+ years,MORTGAGE,135000.0,Aug-15,Fully Paid,debt_consolidation,FL,690.0
613135,114781890,10200.0, 36 months,23.88,E,E2,Relationship Manager,10+ years,MORTGAGE,107000.0,Jul-17,Fully Paid,debt_consolidation,TX,660.0
305429,46652248,16000.0, 36 months,9.99,B,B3,Automotive Technician ,1 year,RENT,48000.0,Apr-15,Charged Off,debt_consolidation,CO,690.0
961746,105729257,16650.0, 36 months,18.99,D,D3,servive/ shipping,10+ years,RENT,37000.0,Apr-17,Charged Off,debt_consolidation,MO,670.0
325647,44766983,35000.0, 60 months,16.55,D,D2,Director-Project Management,5 years,MORTGAGE,225000.0,Apr-15,Fully Paid,debt_consolidation,KS,770.0
515297,126830361,40000.0, 36 months,5.32,A,A1,,,RENT,0.0,Jan-18,Current,debt_consolidation,LA,685.0
609835,114781917,5000.0, 36 months,9.93,B,B2,Administrative Assistant,< 1 year,RENT,45000.0,Aug-17,Current,debt_consolidation,CA,675.0
845918,137289405,25000.0, 60 months,11.06,B,B3,AVP,10+ years,MORTGAGE,150000.0,Jul-18,Current,credit_card,NJ,680.0
781473,139659367,27800.0, 60 months,28.72,F,F1,Sr. IAM Architect/Engineer,7 years,MORTGAGE,225000.0,Sep-18,Current,debt_consolidation,MD,675.0
892513,111320507,3000.0, 36 months,12.62,C,C1,RURAL CARRIER CAREER,10+ years,MORTGAGE,70000.0,Jun-17,Current,debt_consolidation,NY,660.0
381164,40371796,20000.0, 60 months,13.66,C,C3,Account Manager,6 years,MORTGAGE,66000.0,Feb-15,Fully Paid,debt_consolidation,LA,715.0
853890,136973027,22000.0, 36 months,7.21,A,A3,Character Development Lead,4 years,RENT,81000.0,Jul-18,Current,credit_card,TX,670.0
7713,67919906,30000.0, 60 months,17.86,D,D5,Sales,< 1 year,MORTGAGE,300000.0,Dec-15,Current,credit_card,VA,680.0
235985,53514927,28000.0, 36 months,7.89,A,A5,program manager,9 years,MORTGAGE,180000.0,Jul-15,Fully Paid,debt_consolidation,NC,740.0
887808,111718174,7000.0, 36 months,9.44,B,B1,Executive Administrative Assistant ,3 years,MORTGAGE,65000.0,Jun-17,Fully Paid,credit_card,CA,705.0
201295,55927493,4800.0, 36 months,16.55,D,D2,Division Chief Public Defender,10+ years,MORTGAGE,216000.0,Jul-15,Fully Paid,credit_card,CA,670.0
1015,68526100,9525.0, 36 months,20.5,E,E4,driver,3 years,RENT,35000.0,Dec-15,Fully Paid,debt_consolidation,NY,660.0
314669,44553195,12000.0, 36 months,9.17,B,B2,CORRECTIONS OFFICER,7 years,RENT,29000.0,Apr-15,Fully Paid,debt_consolidation,MO,685.0
349790,41160405,19200.0, 60 months,12.29,C,C1,Maintainer,10+ years,MORTGAGE,80898.08,Mar-15,Charged Off,credit_card,MO,690.0
493190,127973440,12000.0, 36 months,9.44,B,B1,Operator ,10+ years,MORTGAGE,99000.0,Jan-18,Current,debt_consolidation,VA,700.0
167694,58562255,15000.0, 36 months,9.99,B,B3,VP - Project Manager,10+ years,MORTGAGE,80000.0,Aug-15,Fully Paid,credit_card,TX,700.0
391339,39642493,11800.0, 60 months,21.99,E,E5,Web Application Test Analyst,2 years,RENT,37000.0,Jan-15,Current,credit_card,FL,675.0
116479,61361776,26000.0, 60 months,10.99,B,B4,banker,10+ years,MORTGAGE,90000.0,Oct-15,Current,debt_consolidation,AZ,715.0
802423,138101126,17000.0, 36 months,7.84,A,A4,Office Manager ,2 years,RENT,50000.0,Aug-18,Current,debt_consolidation,CA,745.0
389609,40017675,35000.0, 36 months,17.14,D,D4,Client Advisor,3 years,MORTGAGE,225000.0,Jan-15,Fully Paid,debt_consolidation,GA,670.0
659293,81910119,24000.0, 36 months,8.99,B,B1,Area Director,10+ years,MORTGAGE,105000.0,Jun-16,Charged Off,debt_consolidation,CA,700.0
33032,66570778,8000.0, 36 months,7.89,A,A5,Membership Specialist,3 years,RENT,36000.0,Dec-15,Fully Paid,debt_consolidation,NC,695.0
1006782,75269368,2300.0, 36 months,21.18,E,E3,Office Manager,2 years,MORTGAGE,68000.0,Mar-16,Fully Paid,home_improvement,NC,665.0
856641,136730318,7500.0, 36 months,16.91,C,C5,Direct Support Staff,< 1 year,RENT,18000.0,Jul-18,Current,debt_consolidation,MI,660.0
63816,65108169,15000.0, 36 months,7.89,A,A5,Registered Nurse,2 years,RENT,115000.0,Nov-15,Charged Off,credit_card,CA,685.0
173415,58080270,2100.0, 36 months,9.99,B,B3,driver,4 years,RENT,30000.0,Aug-15,Fully Paid,debt_consolidation,AZ,660.0
906025,110182744,18000.0, 60 months,14.08,C,C3,Regional VP,4 years,MORTGAGE,130000.0,Jun-17,Current,credit_card,IL,685.0
265485,50445569,16725.0, 60 months,19.99,E,E4,Data entry coordinator,10+ years,RENT,58275.0,Jun-15,Fully Paid,debt_consolidation,NJ,670.0
